Nr okr.,Siedziba OKW,L. mandatów,L. obw.,Liczba wyborców,Głosy nieważne,Głosy ważne,1 - Komitet Wyborczy Prawo i Sprawiedliwość,2 - Komitet Wyborczy Platforma Obywatelska RP,3 - Komitet Wyborczy Partia Razem,4 - Komitet Wyborczy KORWiN,5 - Komitet Wyborczy Polskie Stronnictwo Ludowe,6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni,7 - Komitet Wyborczy Wyborców „Kukiz'15”,8 - Komitet Wyborczy Nowoczesna Ryszarda Petru,9 - Komitet Wyborczy Wyborców JOW Bezpartyjni,10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi,11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej,12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska,13 - Komitet Wyborczy Samoobrona,14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”,15 - Komitet Wyborczy Kongres Nowej Prawicy,16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka,17 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
1,Legnica,12,723,787416,11017,356779,127370,90060,13003,15427,13886,37298,34229,25506,,,,,,,,,
2,Wałbrzych,8,535,539545,7765,234095,72929,76424,7984,10075,7448,20517,20634,15544,2540,,,,,,,,
3,Wrocław,14,713,988061,11002,523371,163323,159582,22059,27341,13604,31932,45726,55756,,2779,,,,1269,,,
4,Bydgoszcz,12,842,804077,10667,374277,113024,110948,14062,17002,22701,37583,29080,27334,,2543,,,,,,,
5,Toruń,13,825,832502,11313,362510,121703,93432,13227,14134,24476,39003,30159,23563,,2041,,,772,,,,
6,Lublin,15,989,959177,11129,487720,232014,80892,13395,24376,37733,29172,45448,22158,,,599,,580,1353,,,
7,Chełm,12,923,771648,9834,339686,163122,41823,8116,14835,38689,24161,35567,12745,,,,,628,,,,
8,Zielona Góra,12,720,800699,11132,346218,97877,97676,13825,17274,17743,34695,30284,34586,,2258,,,,,,,
9,Łódź,10,534,642203,5330,359064,107350,112333,16627,17163,9710,37615,25992,32274,,,,,,,,,
10,Piotrków Trybunalski,9,522,586015,8808,285721,134134,44173,8747,11160,21364,21352,28808,15983,,,,,,,,,
11,Sieradz,12,802,786549,11460,369745,147623,78314,13077,15171,29044,30256,32973,19681,,1905,,,712,989,,,
12,Kraków I (południe),8,442,514765,8754,271577,133213,55454,8840,12089,8226,14473,23551,15731,,,,,,,,,
13,Kraków II (północ),14,838,938869,9364,542768,209607,133558,21053,34446,14644,34643,39379,52822,,,,,,1372,1244,,
14,Nowy Sącz,10,628,614295,10098,310461,188010,43309,6627,13379,12929,7924,24318,11468,,1606,,,,,891,,
15,Tarnów,9,559,579603,8902,291641,151623,42887,7082,13766,23552,9933,28005,13233,,,,,,906,654,,
